,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
2663,rubios fresh mexican grill,92128-2544,27,6,3,27,30,Only Drinks,33.0150612,-117.0774817,93
2664,jamba juice,92101-6144,27,6,3,27,30,Only Drinks,32.7144064,-117.1616203,93
2665,taste of africa cuisine,92105-2202,3,25,20,18,5,Only Food,32.7487671,-117.082675,70
2666,giant pizza king #6,92113-4545,7,28,25,35,25,Food & Drinks,32.6907278,-117.10338440000001,119
2667,wings-n-things,92111-3747,27,6,3,27,30,Only Drinks,32.8146899,-117.154474,93
2668,saffron,92103-3727,27,6,3,27,30,Only Drinks,32.743084,-117.18077290000001,93
2669,berninis cafe,92037-4839,27,6,3,27,30,Only Drinks,32.841145399999995,-117.2743423,93
2670,94th aero squadron restaurant,92123,27,6,3,27,30,Only Drinks,32.8196096,-117.13669990000001,93
2671,starbucks coffee #5479,92108-1530,27,6,3,27,30,Only Drinks,32.7708858,-117.14927920000001,93
2672,starbucks coffee #5495,92121-4741,27,6,3,27,30,Only Drinks,32.8937579,-117.20311670000001,93
2673,sammy's woodfired pizza,92108-1530,27,6,3,27,30,Only Drinks,32.7708858,-117.14927920000001,93
2674,la cucina di capri #816,92108-1146,27,6,3,27,30,Only Drinks,32.768142,-117.1698284,93
2675,deli delight,92126,7,28,25,35,25,Food & Drinks,32.8962029,-117.12093300000001,119
2676,beverages and more,92128-4618,27,6,3,27,30,Only Drinks,32.978042800000004,-117.0842409,93
2677,tio leos iv llc,92130-3301,7,28,25,35,25,Food & Drinks,32.93485,-117.239926,119
2678,ruby's mission valley ltd limited partnership,92108-1525,7,28,25,35,25,Food & Drinks,32.7659126,-117.15577350000001,119
2679,marie callender pie llc #254,92128-4660,27,6,3,27,30,Only Drinks,32.979300699999996,-117.0824622,93
2680,tropical star restaurant,92111-3105,7,28,25,35,25,Food & Drinks,32.8196565,-117.1747582,119
2681,starbucks coffee #5414,92108-1148,27,6,3,27,30,Only Drinks,32.768142,-117.1698284,93
2682,cafe socrates,92108-1159,3,25,20,18,5,Only Food,32.768142,-117.1698284,70
2683,panda express,92122-1273,27,6,3,27,30,Only Drinks,32.8712569,-117.2097355,93
2684,panda panda,92108,27,6,3,27,30,Only Drinks,32.77067460000001,-117.1502571,93
2685,sombrero mexican food,92108,7,28,25,35,25,Food & Drinks,32.7756418,-117.14556599999999,119
